album,total_m,m_comments,m_ratio,total_comments,m_per_comment,m_per_comment_l95,m_per_l95_rank,Primary Genre
Lykathea-Aflame-Elvenefris,2,2,1,384,0.005208333333333333,4.0653874457304614e-4,387,Death Metal
The-Chariot-Long-Live,2,2,1,426,0.004694835680751174,3.632496213401967e-4,388,Hardcore
Incubus-Make-Yourself,2,2,1,427,0.00468384074941452,3.6233032127235e-4,389,Alternative Rock
Deftones-Around-the-Fur,2,2,1,503,0.003976143141153081,3.038308193919585e-4,390,Metal
Cult-of-Luna-The-Beyond,2,2,1,512,0.00390625,2.9812525338280237e-4,391,Post Metal
X-Japan-Art-of-Life,2,2,1,552,0.0036231884057971015,2.7515067029186026e-4,392,Progressive Metal
Zao-Liberate-Te-Ex-Inferis,2,2,1,552,0.0036231884057971015,2.7515067029186026e-4,392,Metalcore
The-Angelic-Process-Weighing-Souls-With-Sand,2,2,1,655,0.0030534351145038168,2.2955249052328437e-4,394,Shoegaze
Faith-No-More-King-for-a-Day...-Fool-for-a-Lifetime,2,2,1,712,0.0028089887640449437,2.1025414576757075e-4,395,Alternative Rock
Devin-Townsend-Project-Addicted,2,2,1,885,0.0022598870056497176,1.6748602896228277e-4,396,Progressive Metal
Alice-in-Chains-Jar-of-Flies,2,2,1,946,0.0021141649048625794,1.562715875666307e-4,397,Grunge
Ulver-Perdition-City,2,2,1,1039,0.0019249278152069298,1.417932983265157e-4,398,Experimental
Dir-En-Grey-Arche,2,2,1,1077,0.0018570102135561746,1.3662043968879845e-4,399,Progressive Metal
Protest-the-Hero-Kezia,2,2,1,1475,0.0013559322033898306,9.883955230533112e-5,400,Progressive Metal
A-Perfect-Circle-Thirteenth-Step,1,1,1,329,0.00303951367781155,0,401,Alternative Rock
Accept-Blood-of-the-Nations,0,0,NaN,43,0,0,401,Heavy Metal
Accept-Metal-Heart,0,0,NaN,34,0,0,401,Heavy Metal
Acid-Bath-Paegan-Terrorism-Tactics,0,0,NaN,115,0,0,401,Sludge Metal
Alice-in-Chains-MTV-Unplugged,0,0,NaN,47,0,0,401,Grunge
Anata-The-Conductors-Departure,0,0,NaN,123,0,0,401,Death Metal
Anathema-Alternative-4,0,0,NaN,242,0,0,401,Progressive Rock
Angra-Temple-of-Shadows,0,0,NaN,90,0,0,401,Power Metal
Animals-As-Leaders-Animals-as-Leaders,0,0,NaN,315,0,0,401,Progressive Metal
Ayreon-Into-the-Electric-Castle,0,0,NaN,14,0,0,401,Progressive Metal
Ayreon-The-Human-Equation,0,0,NaN,121,0,0,401,Progressive Metal
Battle-Of-Mice-A-Day-Of-Nights,0,0,NaN,80,0,0,401,Post Metal
Between-the-Buried-and-Me-Colors_Live,0,0,NaN,263,0,0,401,Progressive Metal
Black-Flag-Damaged,0,0,NaN,292,0,0,401,Hardcore
Black-Flag-My-War,0,0,NaN,142,0,0,401,Hardcore
Black-Flag-Nervous-Breakdown,0,0,NaN,67,0,0,401,Hardcore
Black-Flag-The-First-Four-Years,0,0,NaN,21,0,0,401,Hardcore
Black-Sabbath-We-Sold-Our-Soul-For-Rock-N-Roll,0,0,NaN,23,0,0,401,Doom Metal
Blind-Guardian-A-Night-at-the-Opera,0,0,NaN,97,0,0,401,Power Metal
Blind-Guardian-Imaginations-from-the-Other-Side,0,0,NaN,119,0,0,401,Power Metal
Blind-Guardian-Somewhere-Far-Beyond,1,1,1,151,0.006622516556291391,0,401,Power Metal
Blindead-Affliction-XXIX-II-MCMXCVI,0,0,NaN,101,0,0,401,Post Metal
Blue-Oyster-Cult-Fire-of-Unknown-Origin,0,0,NaN,37,0,0,401,Hard Rock
Blue-Oyster-Cult-Secret-Treaties,0,0,NaN,94,0,0,401,Hard Rock
Blut-Aus-Nord-Memoria-Vetusta-II---Dialogue-With-The-Stars,1,1,1,193,0.0051813471502590676,0,401,Black Metal
Boris-Akuma-no-Uta,0,0,NaN,138,0,0,401,Drone
Boris-Boris-At-Last--Feedbacker-,0,0,NaN,248,0,0,401,Drone
Boris-Flood,0,0,NaN,484,0,0,401,Drone
Botch-An-Anthology-of-Dead-Ends,1,1,1,296,0.0033783783783783786,0,401,Metalcore
Bruce-Dickinson-Accident-of-Birth,0,0,NaN,16,0,0,401,Heavy Metal
Bruce-Dickinson-The-Chemical-Wedding,0,0,NaN,45,0,0,401,Heavy Metal
Buckethead-Colma,0,0,NaN,24,0,0,401,Experimental
Buckethead-Electric-Tears,0,0,NaN,33,0,0,401,Experimental
Buckethead-Population-Override,0,0,NaN,30,0,0,401,Experimental
Burst-Origo,0,0,NaN,237,0,0,401,Progressive Metal
Burzum-Det-som-engang-var,0,0,NaN,17,0,0,401,Black Metal
Burzum-Hvis-lyset-tar-oss,1,1,1,155,0.0064516129032258064,0,401,Black Metal
Cave-In-Jupiter,0,0,NaN,149,0,0,401,Progressive Rock
Children-of-Bodom-Tokyo-Warhearts,0,0,NaN,26,0,0,401,Melodic Death Metal
Cloudkicker-Beacons,0,0,NaN,272,0,0,401,Progressive Metal
