album,total_m,m_comments,m_ratio,total_comments,m_per_comment,m_per_comment_l95,m_per_comment_user,avg_date,m_over_xM,m_over_xM_rank,Primary Genre
Mercyful-Fate-Dont-Break-the-Oath,33,27,1.2222222222222223,486,0.06790123456790123,0.05067547868175119,0.032846037679483596,2016-01-21,17.03682568777097,39,Heavy Metal
Suffocation-Pierced-from-Within,49,45,1.0888888888888888,1080,0.04537037037037037,0.03568462538661514,0.02973915637347086,2014-10-11,16.881711116651474,40,Death Metal
Atheist-Piece-of-Time,28,21,1.3333333333333333,412,0.06796116504854369,0.04937600348947189,0.029213888232570234,2013-10-18,15.963878048181062,41,Death Metal
Immolation-Here-in-After,44,37,1.1891891891891893,776,0.05670103092783505,0.044040147435036106,0.03649708436457539,2015-04-30,15.678262533089498,42,Death Metal
Edge-of-Sanity-Crimson,36,29,1.2413793103448276,655,0.0549618320610687,0.04148791598057511,0.031250774742765206,2015-10-26,15.53074254348879,43,Melodic Death Metal
Heathen-Victims-of-Deception,50,46,1.0869565217391304,1086,0.04604051565377532,0.036306445891821346,0.03197093174596102,2013-12-11,15.27956812388633,44,Thrash Metal
Metallica-...And-Justice-for-All,95,89,1.0674157303370786,3085,0.03079416531604538,0.025944057683702983,0.026085242837922674,2016-05-01,14.527025845008547,45,Thrash Metal
Celtic-Frost-To-Mega-Therion,30,24,1.25,365,0.0821917808219178,0.06054958568310717,0.04292057342604156,2015-12-11,14.333990699494828,46,Thrash Metal
Annihilator-Alice-in-Hell,32,28,1.1428571428571428,248,0.12903225806451613,0.09674717609005631,0.07127257891860377,2013-10-14,14.324400428186266,47,Thrash Metal
Morbid-Angel-Blessed-Are-the-Sick,38,35,1.0857142857142856,799,0.04755944931163955,0.03614981720319715,0.029712241101384144,2014-11-25,14.25991935999407,48,Death Metal
Dark-Angel-Darkness-Descends,26,25,1.04,449,0.05790645879732739,0.04145487628236283,0.026459597718304632,2014-10-16,14.11964062448122,49,Thrash Metal
Iron-Maiden-Iron-Maiden,46,44,1.0454545454545454,1205,0.038174273858921165,0.029755746680231974,0.026480359869672728,2015-03-08,14.091166357044367,50,Heavy Metal
Kreator-Extreme-Aggression,23,22,1.0454545454545454,303,0.07590759075907591,0.05329153900704214,0.03066074850307887,2012-09-22,13.709793203567102,51,Thrash Metal
Celtic-Frost-Morbid-Tales,24,23,1.0434782608695652,360,0.06666666666666667,0.04710205373538033,0.028604068939755235,2013-12-02,13.702535181688114,52,Thrash Metal
Demilich-Nespithe,44,29,1.5172413793103448,1220,0.036065573770491806,0.027939129135427967,0.02597775086033221,2016-07-25,12.307143950394709,53,Death Metal
At-the-Gates-Slaughter-of-the-Soul,39,38,1.0263157894736843,1368,0.02850877192982456,0.021694675966063344,0.019569266254688134,2013-08-10,12.22924376358663,54,Melodic Death Metal
Fear-Factory-Demanufacture,20,13,1.5384615384615385,332,0.060240963855421686,0.040991753870978656,0.024553053862503976,2015-06-26,11.84838611764868,55,Industrial
Death-Human,70,58,1.206896551724138,1898,0.0368809272918862,0.030190886168469284,0.03085189890613373,2016-10-15,11.443095876158182,56,Death Metal
Demolition-Hammer-Tortured-Existence,20,18,1.1111111111111112,231,0.08658008658008658,0.05924019465337925,0.0374285948644902,2014-10-13,11.353994586302763,57,Thrash Metal
Dissection-Storm-of-the-Lights-Bane,37,34,1.088235294117647,701,0.052781740370898715,0.039992124737657155,0.036630927391008504,2017-02-04,11.321719898903037,58,Black Metal
Paysage-dHiver-Winterkaelte,26,24,1.0833333333333333,545,0.047706422018348627,0.034091874099201634,0.026948069448194854,2014-08-13,11.313302150733806,59,Black Metal
Judas-Priest-Stained-Class,50,48,1.0416666666666667,1116,0.044802867383512544,0.03532530107605605,0.03467367909586769,2014-06-29,11.30417412901166,60,Heavy Metal
Metal-Church-Metal-Church,18,18,1,267,0.06741573033707865,0.0449045294956697,0.02666803961968584,2013-04-22,10.87963342154388,61,Thrash Metal
Dismember-Like-an-Ever-Flowing-Stream,28,24,1.1666666666666667,777,0.036036036036036036,0.026042399101767123,0.022243910918188448,2014-01-05,10.716481216567576,62,Death Metal
Insomnium-Above-the-Weeping-World,23,18,1.2777777777777777,395,0.05822784810126582,0.040742251625711705,0.031959764106056665,2015-04-08,10.375893178107617,63,Melodic Death Metal
Candlemass-Epicus-Doomicus-Metallicus,34,31,1.096774193548387,711,0.04781997187060478,0.03574718107844061,0.0332894539177411,2014-05-07,10.331198264486074,64,Doom Metal
Destruction-Infernal-Overkill,15,11,1.3636363636363635,174,0.08620689655172414,0.055255389268476285,0.026993059149393976,2014-07-04,10.303207708005448,65,Thrash Metal
Weakling-Dead-as-Dreams,26,24,1.0833333333333333,819,0.031746031746031744,0.02262318746896185,0.01921389940941682,2014-06-19,10.263816383687624,66,Black Metal
Iron-Maiden-Live-After-Death,24,23,1.0434782608695652,303,0.07920792079207921,0.05609268657779071,0.04538421972901742,2013-12-09,10.248581422107723,67,Heavy Metal
King-Diamond-Abigail,22,21,1.0476190476190477,356,0.06179775280898876,0.042893738568723465,0.03327261955922857,2015-04-11,10.154947436914629,68,Heavy Metal
Judas-Priest-Sad-Wings-of-Destiny,76,69,1.1014492753623188,2296,0.033101045296167246,0.02731464020680588,0.028682418143079185,2014-07-25,10.145167943490188,69,Heavy Metal
Pantera-Cowboys-from-Hell,22,21,1.0476190476190477,386,0.05699481865284974,0.039522862237844666,0.030988417484750366,2014-11-23,10.038470850886359,70,Metal
Morbid-Saint-Spectrum-of-Death,23,23,1,436,0.052752293577981654,0.036872648804393934,0.029825593777503243,2015-04-08,9.996041113008587,71,Thrash Metal
Mercyful-Fate-Melissa,30,30,1,679,0.044182621502209134,0.03235140153109245,0.02958318668917158,2013-02-28,9.9130162380525,72,Heavy Metal
